class, rating, comment
pos,5,"SUPER!!!	Kkkkkk.... Caraaaa muito legal euu tirei foto de mim mesma e ate me assusteiii!!... Kkkkkkkk me matei de rir gente td mundo do colegio ficou curioso. Cara super engracado eu recomendo pra tds !!!..."
neg,1,"Nao jogei ainda	Eu nao jogei e uma merda"
neu,3,"Gugu dada	O que que é"
pos,4,"Mto lixo	Mto lixo !vc pode bate uma foto da parede q aparece uma velha !engana troxa"
neg,1,"Muito ruim	Uma merda"
neg,1,"Uma bosta	Pessoal nao baixem essa porcaria nao, e muito ruiiim. Eu tirei uma foto de um caderno e apareceu uma velha dizendo que ia morrer numa briga de bar, dps tirei uma do meu rosto dai deu rosto nao detectado, e o aplicativo fica dando erro é muitto horrivel povo, nao baixem perca de tempo"
neg,1,"Lixo!	Lixo!"
neg,2,"Depois da erro.	É legal e engraçado mas eu não gostei porque depois começa da erro  depois eu odiei desculpa fabrigação Emiliana mas eu já reclamei  e nada depois baixei velho roste nada mesmo."
neg,1,"Ruim pra caralhu	Vsf nada ver isso ae vai tomar no cú mano,jogo feião"
pos,5,"VAi tomar no cu	VAi tomar no cuVAi tomar no cuVAi tomar no cu"
neg,1,"Péssimo	Péssimo. Sem mais. Só gera uma imagem aleatória de uma pessoa idosa e fala como você vai morrer."
neg,1,"Uma bosta, nao baixem.	Horrivel. Deviam proibir um app desse"
neg,1,"Lixo	Simplesmente uma porcaria."
neg,1,"Horrivel!	Pessoal não baixem é horrivel mesmo!."
neg,1,"Péssimo	Ridículo."
neg,1,"Uma bosta	aparece uma frase falando como vc vai morrer e a foto de uns velho mó nada haver."
neg,1,"Muito ruim	Nao e de vdd e uma porcaria devia ser proibido uma coisa toa ruim"
neg,1,"Horrível	Não iinstalem essa bosta"
neg,1,"Puro Lixo	Deviam proibir lixos como esse... E criar uma nota 0 para avaliação..."
neu,3,":	Muito bom"
neg,1,"Lixooo!	Nem percam seu tempo baixando isso"
neu,3,"+-	Meia boca"
neg,1,"A pior porcaria que usei até hoje.	Se a google tivesse vergonha nem deixava esta poracaria na google play."
neg,1,"Duvida	Parece ser ruin ainda n baixei mas pelos comentarios e demostracoes e ruim pediram para mostrar um jogo melhor tenho certeza q pou e bem melhor n vou baixar esse jg parece mt ruim"
neg,1,"Galaxy s IV	Muito ruim, pra caraba muito ruim vei so mentira"
neg,1,"Isso e uma grande merda	Isso nao presta e uma bosta total"
neg,1,"Lixo	Nao baixem muito ruim,  tem pessoas sem criatividade aqui mesmo,  nao sabem programar e se intrometem."
pos,5,"adorei muito divertido"
pos,5,"Excelente	Muito engraçado"
neg,1,"PÉSSIMO	Muito ruim horrível"
pos,5,"Emily	Pela mor de Deus isso é horrivel de mais"
neg,1,"Kkkkk	Nao tem sentido !! Ri milhas"
neg,1,"Horrivel	Detestei trava e a foto velha nao se parece nada com a pessoa."
neg,1,"Horrivel	Naum baixem essa porra de jogo pq depois qnd for sair dele naum vai e alem disso eh racista pq soh aparece negro velho"
neg,1,"Uma merda	Não baixem!!!"
neg,1,"Horrivel	Nao baixem '-'"
pos,5,"Bem legal pra zuar com os amigos"
pos,5,"Galaxy Pocket	Bom muitas cara estranhas"
neg,1,"Horrivel !!	Horrivel.. Disse q eu iria morrer de insigestao com 110 anos .. E o cara q apareceu n se parece cmg... Serio se fuder vadia."
pos,5,"se esisti un jogo melho mi mostre"
neg,1,"Lixo	Não funciona. Sony Xperia X10."
neg,1,"Lixo	Nao baixa e uma bosta , dou 1  pq nao da pra por 0"
neg,1,"Spam	Não usar. Aplicação inútil.  Estou quase certo que apanhei vírus.'"
neg,1,"Péssimo	Aplicativo de utiliza de rostos aleatórios"
neg,1,".	Uma merda , nada ver ."
neg,1,"Ruim	As fotos ja estão todas salvas"
neg,1,"Merda	E muito ruim"
neg,1,"Lixo	Nada a ver o programa"
neg,1,"Ridículo	Esse app é péssimo primeiro agente tira a foto e depois mostra como eu vou ficar quando velho e não tem nada a ver mostra qualquer foto de um vei ai."
neg,1,"Um lixo	Q lixo"
neg,1,"Pessimo	Nao percam seu tempo"
neg,1,"Qe mierdaa	Qe nada avet eu aparecii branca disse q eu ia morrer xm 118 anos em um incendio ma floresta ,depois disse q eu ia morrer m 90 afogada ,vou tet duad mortes eh"
neg,1,"Lixoooo	N perquan o seu tempo nossa muito zuadoooo"
neg,1,"noss cara muito ruimm!1	vey perdi meu tempo com esta bosta"
neg,1,"Uma merda	Baixei pra ver como era. É uma merda."
neu,3,"Pessimo	Odiei me deixou com ar de tristesa"
neg,1,"lixo	nada a declarar, um lixo"
pos,5,"muito bom muito bom	é muito lenta é muito legau"
neg,1,"Nada ver	Tirei uma foto do chão e apareceu uma velha mto feia. Nada ver com a pessoa"
neg,1,"Merda	Muinto besta perde seu tenpo vc podia baixar e si jogo muito merda"
neg,1,"Lixo	Não serve para nada"
pos,5,"Bom	Bom"
neg,1,"Lixo	Lixo da melhor forma de lixo"
neg,1,"E u,a merda	E uma vdd bosta nao istalem e uma porcaria gastei meu tempo atoa"
neg,1,"Perde meu tempo	Nao recomendi."
neg,1,"Horrivel	App idiota, nao recomendo ninguem baixar"
pos,4,"Engraçado"
neg,1,"Nada ve mto merda	Vei eu tirei 2 fotos. Uma eu era uma veia de  cabelo arrepiado e na outra eu era uma veia chifruda meu n sabia q eu podia mudar de aparencias tão rapido n baxa essa merda cara tu Só vai perde tempo"
neg,1,"E orrivel esse jogo...	Porcaria orrivel nao recomendo..acreditem..."
neg,1,"Uma merda	Isso nao prestaa,  . Lixo"
neg,1,"Lixo	Esse trosso e um lixo."
neg,1,"Que vergonha...	Gente vamos colocar aqui aplicativos de interece que funciona, a proposta foi boa mais o resultado e muito ruim mesmo."
neg,1,"lixo.n baixe	olha vc tira foto da parede e vai uma mentira a dina disso e burra   n baixe"
neu,3,"Ruin	Fjba furia jovem baraunas  Tomen todos na bunda"
neg,1,"Pesimo	Uma bosta não recomendo !!!"
neg,1,"Besta	Aff que app idiota disse que eu ia morrer com 102 anos num acidente de carro :$"
neg,1,"Paciência de jo!	Demora mt pra baixar,e e um saco pra esperar!!!!!"
neg,1,"Lixo	Lixo"
neg,1,"Porcaria	Nao presta... só conversa"
neg,1,"Péssimo	Tirei 1 foto minha e falou que eu ia morrer c/ 115 anos ao atravessar a faixa de pedestre"
neg,1,"Isso e ruim	Isso nao presta maior enganação."
neg,1,"Nao conpren"
neu,3,"Mais o menos"
pos,5,"É uma bosta"
neg,1,"Lixo	Nada realista!!!!_"
neg,1,"nao funciono	nao funciona quendo voce tira a foto o aplicativo sai automaticamente"
pos,5,"Atencao	Olha antes de voces criticarem isso e uma pegadinha para amigos entendeu bobos?"
neg,1,"Lixo	Nada haver num sei como oerdem tempo de fazer uma merda de app desse..."
neg,1,"Ruim	Mò mentira disse que eu ia morrer com 124 e envenenada por um estranho"
neg,1,"Péssimo	Ruim"
neg,1,"Que lixo	Nao recomendo issu é um lixao"
neg,1,"Uma bosta	Nao baixem esse aplicativo, nao acontece nada, so fica na primeira tela !"
neu,3,"+ou-	Achei legal mas achei repetitivo,e depois de um tempo fica ben chato!!"
neg,1,"Muito ruim	Péssimo. Só."
neg,1,"Trava o celular	Além de travar o celular, eu nem tirei foto do meu rosto, e aparece umas fotos de velha nada a ver. E depois, não consegue sair do aplicativo"
neg,1,"Horrível	Um lixo Nem analisa como vc vai fikar eles so pegam umas fotos e colokam falando q er vc"
neg,1,"Uma Merd@	Sem noção nada a ver cim a foto que tu tira aff nao baixem pq é mt ruim"
neg,1,"Uma merda	Uma bosta nem baixem"
neg,1,"Horrível	Não add esse jogo. Dá erro, mostram fotos que não tem na da ver..."
neg,1,"Ruim	Não aparece bc velho"
neg,1,"Gente nao baixem ė uma merda	Eu tirei uma foto da parede para ver se era verdade é tudo uma mentira falou que a parede ia morrer com 140anos. Nao baixem..."
neg,1,"Nada real	É horrivel, rostos aleatórios, sem falar q é mt chato. N aconselho"
neg,1,"Orrivel	Baixei e é orrivel falou eu ia morrer com 102 anos  e eu morreria numa briga de bar"
neg,1,"Chato.	Chato , nao tem nada a ver cm vc. Bota a foto de uma velghinha ao inves de modificar cc ."
neg,1,"Péssimo	O app pega foto de uma mulher velha e coloca como se fosse vc"
neg,1,"Lixooooo	Muito ruim, não recomendo!"
pos,5,"D+	Recomendo. Muito bom!!!"
neg,1,"orivel	e muito ruim para ter nocao eu tirei uma foto da escada e apreceu q a escada ia morrer com104 anos e ia morrer afogada e apareceu uma foto de uma mulher:-( :-[  :-C"
neg,1,"lixo	eu sou homem e colocaram uma foto de uma vovo ."
neg,1,"Uma bosta	Uma bosta ñ e nada legal"
neg,1,"Uma merda	Perca de tempo."
neg,1,"Que porra	Que porra e essa uma merda eu tirei minha foto e aparesceu uma mulher velha eu sou homem va toma no cu"
neg,1,"Merda	Achei esse aplicativo uma perda de tempo.  Testei varias vezes com varias pessoas e apareceu a mesma véia q iriam morrer numa banheira de chocolate"
neg,1,"Mentira	Esse aplicativo somente poe uma imagen de velho depois que vc tira a sua foto, e a imagem não tem nada a ver com a que vc tira."
neu,3,"comecei agora..	mas parece ser um app legal.."
neg,1,"Lixo	O bagulho disse q vou morrer cm 95 anos e por causa de fogos de artificio.... Muito ruin lixo demais"
neg,1,"Lixoooooo	Nao recomendo para ninguem OBS:perda de tempo"
neg,1,"Este app	Este app é mentirosp eu mostrei minha cara (menina) e saiu um capeta velho"
neg,1,"Tem virus	Não baixem. Trm virus"
neg,1,"Não presta"
neg,1,"Lixo	..."
neg,1,"É uma porra esse aplicativo	Eu tirei uma foto e saía sempre diferente"
neg,1,"sem  graça	Naum gostei do  jogo é Mour nada ver ...."
pos,5,"Bom	Parabens continue sempre asim"
neg,1,"horrivel	nossa vc tira a foto aparece outra foto que eles escolheu afffs melhor nem baixar vai se arrempende"
neg,1,"Lixooooooo	Pura perda de tempo!! Pura mentira!!"
neg,1,"Porcaria"
neg,1,"uma bosta	Aparese uma cara velha e disse que eu ia morre emgolindo uma causinha"
neg,1,"Lixo	Não recomendo!"
neg,1,"Gostei mais n gostei	Achei engraçado mais sem nenhuma cara diferente"
neg,1,"Não presta	Muito Rui bosta"
neg,1,"Lixo	Muito ruim essa merda..."
neg,1,"q merda	esse lixo falou sue eu vou morrer em uma guerra mundial"
neg,1,"Lixo	Não recomendo esse app alem de amostrar uma goto que nada tem a ver comogo,ainda falou que eu ia morrer com 114 anos numa banheira cheia de chocolate"
neg,1,"Pior jogo	Pior jogo que eu joguei"
neg,1,"LIXO !!	Essa app e uma bosta um lixo , e mentiroso. Perda de tempo abaixa esse lixo !"
neg,1,"Uma merda	O aplicativo hee uma bosta NAO BAIXEM"
neg,2,"bom	tem gente que ficou parecida mesmo...kkk"
neg,1,"K	Nao gostei horrivel"
neg,1,"Lixo	Nao baixem..."
pos,5,"legal	achei legal porque aparece foto de velhos e fala da idade e da morte falsa nao e tao ruim"
neg,1,"Ta de sacanagem	Esse aplicativo e horrivel mostra cada coisa perda de tempo nao baixeeeeem"
neg,1,"Não baixem	Esse aplicativo e um lixo, nem transforma as fotos, só trás as fotos já envelhecido quem vem no aplicativo"
neg,1,"Perda de tempo esse aplicativo...	Abre uma foto e fala que vou morrer com 44 anos..."
neg,1,"Ridículo	, isso é um lixo não baixem pq e perda de tempo !!"
neg,1,"Imprestável	Não fuciona"
pos,5,"Gostei	Ainda to instalando mais acho que e legal"
neg,2,"Demorando"
neg,1,"Orrivel	Esta porcaria falar que eu vo morrer com 40anos e so aparece cara de mulher."
neg,1,"BostA	Lixo ... deve fazer coisas úteis"
neg,2,"nao gostei	n aparece minha cara qe raivaa"
neg,1,"Mt ruim uma prq	É aparece a ft do jg n recomendo"
neg,1,"Porcaria	Uma perca de tempo n baixem n recomendo......"
neg,1,"Cihhh	A foto nem aparece q sou eu! Não recomendo!!! :'("
neg,1,"vai se fude	viadinho"
neu,3,"Mais ou menos	Achei mais ou menos"
neg,1,"Mentira	Abachei o aplicativo tire foto mas so apareceu fotos que ja vem no aplicativo por isso nao gostei perdi meu tempo coloque alguma coisa que foncione"
pos,4,"Bom	Falta corrigir alguns bugs, mas é completamente funcional."
pos,4,"Muito bom!	Os cara que fala q o app eh ruim, tem um celular lixo e q q roda emulador.... ate parece.... de vez em quando da um luguesinho, normal isso... dou 4 estrelas pq da pra melhorar, mas ja esta otimo"
pos,5,"Galaxy Note 10.1	O melhor ... pq sei onde salva kk Muito bom ..."
neg,1,"Saudade	Mto bom os jogos do master neh bateu uma saudade de jogar sonic, porem acredito que tenham *esquecido* alguns ajustes fica ttravando constantemente nao consegui passarr da segunda fase."
neu,3,"Mais ou menos...	Há problemas nos botões alem da configuração dos mesmos ser ruim"
pos,5,"Perfeito no Xperia Play.	Nossa, esse emulador é simplesmente incrível. Eu tô jogando Alex Kidd aqui numa boa. Eu recomendo vocês baixarem."
neg,2,"trava muito .	Cara trava muito não da nem pra jogar , espero que arrumem este erro grave, vou da 2 votos porque sei que não e facil lidar com isto boa sorte aew e bom trabalho."
neg,2,"Lixo nao recomendo	Esse projeto de emulador fica travando toda hora o botao de movimento e para uma criança de 2 anos n recomendo pra quem tem galaxy pocket"
pos,5,"Excelente e gratuito	Ótimo emulador e totalmente gratuito.  Recomendo a todos para matar a saudade do grande e saudoso Mega Drive."
neg,1,"E aí	Como baixar os jogos, não tem opção"
neu,3,"To baixando	Noa sei de nada"
pos,4,"Ehhhhhhhh. Mais ou Menos..	^^"
pos,5,"Muito bom	Otimo app melhor que ja vi confiavel"
pos,5,"XD!	Relembrando os velhos tempos."
pos,5,"Galaxy y tv	Gente é só saber configurar .... fframeskip coloquei no 2 ... E do audio no 1 .... Tem que ter certeza que nada esta consumimdo a memoria"
neg,1,"Orrivel	Nao consigo jogar q saco"
neg,1,"Nao funcionou no mb525"
neg,1,"Ruim demais	O som é péssimo, não se escuta a música do jogo, só um chiado irritante"
neg,1,"É ruim	Não tem game genie. É lento. Trava toda hora."
pos,5,"EXELENTE	Lg Optmus L3 e435. O app é otimo e todos os jogos de mega drive pegam. Mas só tem um problema o sons dos jogos ficam travando."
pos,5,"Samsung Galaxy Pocket	Estou jogando na boa. Devolta aos clássicos do Meguinha.. Rsrsrsrs"
pos,5,"Otimo	Pro meu gx note ficou 100%"
pos,4,"Bom app	Me lembro de quando tive meu primeiro mega drive saudaded"
pos,5,"Perfeito	Nostalgia pura graças a esse APP...:)"
neu,3,"Melhorem por favor!!	O app tem tudo pra ser bom so tirem o frequente lag... Mas mesmo assim voces estao de parabens pelo esforço... Pessoas criticam dizendo que e um lixo mas eles nao pensam no trabalho de voces"
neg,1,"Lento e pesado.	Meu celular p698f processador 800MHz fica dando Lag o tempo todo. ::: Eu sugiro que você instale o ★ Gensoid ★, Roda tranquilamente!___Não tem no Market, mas pesquisa no Google que você acha. ★ Fica a dica..."
neg,1,"Problemas com celular	No Meu galaxy y young só podia jogar este emulador e foi uma verdadeira mIerda , tive q baixar GensOid (recomendado) pelo 4shared fica para PFS fãs de sonic, Comix zone, entre outros, baixem emuladores que terminam com Oid"
neu,3,"Lento...	Da primeira vez q instalei funcionou perfeitamente no meu Galaxy Pocket Duos, mas depois de algumas atualizações ficou lento e as músicas ficam mais lentas q o normal. E não venham me falar q é meu aparelho q é ruim, pois o SuperGenPlus funciona perfeitamente, sem nenhum problema."
neg,1,"Ele para na hora de fazer de instalar"
neg,1,"Naum roda no sony ericsson xperia!!!!fuuuuuh queria joga Sonic!!!!!! :-@"
neg,2,"Onde fica os roms.	Eu procurei em todo lugar e nao achei, coloquem uma URL ou alguma coisa assim para achar os jogos Vlw."
neg,1,"Essa disgraca nao pega	Como faco download do jogo"
neg,1,"Problema	No galaxy gran duos não foi bem. Tem esse efeito que falaram, que ele fica engasgando, tipo um pequeno e frequente lag. Ainda não encontrei um que funcione."
neg,1,"Não abre"
neg,2,"E os jogos ?	Como faço para adquirir os jogos?"
neg,1,"Hm	Nao kosigo mecher nao sei auguem me ajuta pr fv"
neg,2,"Estava indo bem, mas precisa atualizar	O emulador é bom, mas precisa de atualização para otimizar para os sistemas operacionais mais recentes e para os aparelhos que usam mais de um núcleo no processador. Tirando isso, ainda falta incluir o suporte para gamegenie. Se fizer isso, o emulador vai ficar 100%."
pos,5,"RODA PERFEITO !	Sem problemas no meu Galaxy 5...o celular é fraquinho mas roda de boa..."
neu,3,"Muito bom	Gostei, quando vate aquela saudade dos jogos antigos ele me relembra destes belos jogos do passadi"
neg,2,"Lento no s3	Nao sei pq, mas no meu s3 esse emulador roda os jogos lento...."
neg,1,"Ruim	Esse app e bom d+ pra celular comum neh porra o meu e android caralho sera q vocês ñ tem app melhor ñ?"
pos,4,"Esse é BOM!!!	São Paulo - SP, 21/03/2013  Esse Aplicativo é muito BOM! Recomendo a todos!!! É bom a gente matar a Saudades jogando o vélho Mega Drive novamente agora na palma da mão, o que facilita muito!!! Depois que você baxar o Aplicativo aí é só copiar os jogos para uma pasta dentro dele. SIMPLES ASSIM!!! E eu conheço muitos sites que têm muitas ROMS de Mega Drive TUDO GRATUITOS!!!  Abraços Fortes por Trás a todos!!! Ass: Daniel N. S. danielnavega@terra.com.br  Valeu!!!"
pos,5,"Muito obrigado...	...por me fazer lembrar de alguns grandes momentos da minha infância   8D"
neg,1,"Galaxy tab 2 7.0 p3110	O app so le o jogo uma vez e depois para de pegar se eu tento colocar qualquer outro jogo ele n le tb nem colocando em vez de um arquivo .srm colocar um .bin eu ja reinstalei 4 vezes e aconteceu a mesma coisa"
pos,5,"Emulador ótimo	Usei no LG L7 rodou tranquilo!!! Já num Samsung S Duos não tive a mesma performance. Emulador de consoles Sega Top. Merece 5*"
pos,5,"O melhor	Sem sombra de duvida esse emulador de mega drive é o melhor, alem de ter o grafico muito bom,da pra salvar o jogo na parte q quiser e sem ter q pagar por isso."
pos,4,"Otimo	Alguém sabe qual o problema com as roms do master system.tenho o motorola atrix tv e quando rodo qualquer jogo do master . So fica c um botao.tipo o botao A e o botao B FOCAM COM A MESMA FUNÇÃO. Por exemplo no alex kidd in miracle world so da soco.nao tem o botao d pulo."
pos,4,"Ótimo emulador.	App espetacular. Rodou sem problema as roms que tenho e é muito fácil achar jogos na net. Uso um Razr I  e recomendo."
neg,1,"Péssimo	Não gostei não"
neg,1,"Pessimo	Nao funcionou"
neg,1,"lixo	como faz pra baixar jogos ???"
pos,5,"Demais	Muito bom"
neg,1,"Lixo nao roda no xperia 8"
pos,5,"emulador	gostei muito recomendo a todos"
neg,1,"Não funciona!	Simplesmente não funcionou. Dou loading na Rom e não acontece nada, volta pra tela inicial do emulador! Péssimo."
pos,5,"Bacaninha!	Muito bom sim, jogo ate Virtua Racing com esse emulador... Mas o desempenho da emulacao deixa muito a desejar."
pos,4,"jogos	qual o formato dos jogos para se baixar e jogar e qual os sites brigado"
pos,5,"Não comssigo baixar	Não concigo baixar como baixa"
pos,5,"Excelente	Muito bom apesar de ficar um pouco lento no meu galaxi pocket"
neg,1,"Não percam seu tempo uma bosta o pior jogo do andróid"
pos,5,"Erro	O meu abre direitinho mas é como se estivesse em camera lenta,meu cel é o galaxy s3 se alguem puder,da um help ai."
neg,1,"Emulador d merda...instalei no meu cel.e não pegou d jeito nenhum"
pos,5,"Bom Emulador, é Bom Relembrar [Samsung Galaxy W]	Este emulador é muito bom e ajuda a relembrar meus tempos de Master System, Mega Drive, com ele posso jogar Sonic, Top Gear, Bomberman, entre outros. Já tenho emulador de Nintendo instalado, agora tenho esse de Master System / Mega Drive. O emulador funciona muito bem, dá pra jogar de boa. O único ruim é que eu não me adequo muito bem em jogar tocando na tela, mas dá pra jogar de boa."
neg,1,"Vai se fude q porra d jogo e esse?  nem entra esse caralho como eles colocam esse jogo no market filho da puta d jogo"
neu,3,"nao consigui	nao consegui baixar roms alguem pode me ajudar"
neg,1,"Oviveu	Uma merda"
pos,5,"Ajuda pf!!!	como baixo roms para ele"
neg,1,"Não funciona no Xperia X10 Mini Pro	Quem tem Xperia X10 Mini Pro não baixem o mesmo da um erro e não funciona."
pos,5,"< ( ( ( MUITO SHOOWWW ) ) ) >	Simplesmente o melhor emulador que eu ja testei até hoje .... Só uso ele agora vlw msm . . ."
pos,5,"Galaxy Y	-  tô doido pra testar no Castlevania SON !"
neg,2,"SGS II	Boa tentativa mas a paginação dos botões é MUITO RUIM.  Toda hora aperto o botão \"B\"  e ele entende como \"A\"  e vice- versa."
pos,5,"Socorro!!!	Como coloca jogos???????"
neg,2,"rooms	Como faço para baixar roms ?"
pos,5,"Problema	Sempre joguei normalmente aqui no meu S3. Mas de uma hora para outra, assim de repente, do nada, quando carrego (qualquer jogo), ele fica lento. Como se estivesse em câmera lenta. Travando. Alguém teve isso? Gostaria de uma dica para resolver isso. Tentei desinstalar e instalar novamente, mas não deu. Continuou na mesma..."
pos,5,"Paraense	HELP ME.!!!!  Como eh q baixa jogo p essa \"budega\"...??? + Que M#*&%@"
neg,1,"Nao sei entrar alguem ajuda"
neg,2,"Demora mto pra baixar....aafff"
pos,5,"Muito Bom!	É o melhor emulador para Mega Drive."
pos,5,"MUITO TOP	É muito TOP esse emulador! Eu tenho e tenho o do SNES tbm que é muito TOP... Roda lisinho, sem ficar travando imagem e som, nada! Perfeito pra relembrar minha infância! Pode baixar sem medo!"
neg,1,"Não pega! Liixo!  X8"
pos,5,"Excelente!	O aplicativo é ótimo, roda sem lag no Galaxy Y. O único problema é que ele trava se você desabilitar o som, mas é só deixar ele habilitado e abaixar o volume."
neg,1,"Socorro	Como e que eu faço pra jogar."
pos,5,"Meu nome é yuri	Nao sei onde baixar os roms"
neg,1,"Porcaria	Como baixa os roms???? De outro app?????"
neu,3,"Pode melhorar	Ele tem potencial, mas  o som nao sincronizada e da bug em varios jogos o gen.emu esta vem melhor"
neg,1,"Desestalando não funciona esta josa"
pos,5,"Poxa esse app é irado,faz voltar nos tempos de criança show de bola."
pos,4,"Galaxy Y	Ótimo emulador. A maioria das roms que testei rodaram bem. O som é que não é dos melhores mas tudo bem."
