@relation comments_train-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute ' comment' string
@attribute class {neu,neg,pos}

@data
'E uma bosta\tE a pior app do mundo eu quero dar 0 estrelas mas nao da',neg
'Lixo\tUma merda mentirosa nao baixem!!',neg
'Sem graça pra carai\tJogo sem graça n aparece como se eu fosse velha muito chato',neg
'Horrivel\tNão gostei não faz o que prometi',neg
'E uma merda\tPorfavor ñ baixem essa merda',neg
'Chato\tEstranho cada vez ele apare e uma fito diferente',neg
'Horrivel\tEsse aplicativo é uma merda,pq toda vez q eu bato uma foto minha e o aplicativo avalia como vai ser minha aparencia quando eu estiver idosa,aparece toda vez uma aparencia diferente sendo q é sempre a mesma pessoa no caso eu,isso é uma enganação,ñ baixem.',neg
'NÃO BAIXEM\tEsse app é uma fraude, não executa nada e instala um monte de ads no celular.',neg
'Fraco\tPerda de tempo.',neg
'Aaaaf\tuma porcaria!',neg
'nao percam tempo baixando\tmuito ruim',neg
'Muito ruim nao merece nem 1 estrela....\tO pior aplicativo que eu ja baixei..  nao perca tempo isso e uma bosta. Olha que ja vi app ruim... mas esse ganhou o oscar.',neg
'nao sei como que e?\testou tentando abaixar este app mais todos comentarios tao ruim mas acho q nao vale apena.',neg
'Leia\tMuito ruim , sendo que nao desistala. Fica quebradilhos de app no cel. Nai baixem.',neg
'mais ou menos\teeh mais ou menos as caras são aleatória ..',neu
'Péssimo\tNão funciona,não per a seu tempo baixando isso.',neg
'Muito ruim\tUma merda nao instalem nao presta....',neg
'Motorola razr D1\tNão presta pra nada só gasta memória do smartphone',neg
'Porcaria\tNao funciona.',neg
'Nao vale nada\tNao tem nada a ver com que parece E LIXO',neg
'Galax note 2\tMuito ruim.. trava.. nao recomendo..  Porcaria.. aff.. so raiva..',neg
'Muito ruim\tso trava fecha, nao funciona no meu Xperia Mini Pro',neg
'Que povo  velho\tC4rev',pos
'Merda\tEsse app é uma verdadeira bosta.',neg
'Horrivel\tAparece uma foto aleatoria com um texto dizendo q vc vai morrer, sem contar que é super lento, não recomendo a ninguem',neg
'Zzzzzz\tmá que lixo de app, meu deus..ainda vão inventar coisa pior',neg
'Nao funciona!\tEsse programa nao faz nada. So diz que vamos morrer.',neg
'SUPER!!!\tKkkkkk.... Caraaaa muito legal euu tirei foto de mim mesma e ate me assusteiii!!... Kkkkkkkk me matei de rir gente td mundo do colegio ficou curioso. Cara super engracado eu recomendo pra tds !!!...',pos
'Nao jogei ainda\tEu nao jogei e uma merda',neg
'Gugu dada\tO que que é',neu
'Mto lixo\tMto lixo !vc pode bate uma foto da parede q aparece uma velha !engana troxa',pos
'Muito ruim\tUma merda',neg
'Uma bosta\tPessoal nao baixem essa porcaria nao, e muito ruiiim. Eu tirei uma foto de um caderno e apareceu uma velha dizendo que ia morrer numa briga de bar, dps tirei uma do meu rosto dai deu rosto nao detectado, e o aplicativo fica dando erro é muitto horrivel povo, nao baixem perca de tempo',neg
'Lixo!\tLixo!',neg
'Depois da erro.\tÉ legal e engraçado mas eu não gostei porque depois começa da erro  depois eu odiei desculpa fabrigação Emiliana mas eu já reclamei  e nada depois baixei velho roste nada mesmo.',neg
'Ruim pra caralhu\tVsf nada ver isso ae vai tomar no cú mano,jogo feião',neg
'VAi tomar no cu\tVAi tomar no cuVAi tomar no cuVAi tomar no cu',pos
'Péssimo\tPéssimo. Sem mais. Só gera uma imagem aleatória de uma pessoa idosa e fala como você vai morrer.',neg
'Uma bosta, nao baixem.\tHorrivel. Deviam proibir um app desse',neg
'Lixo\tSimplesmente uma porcaria.',neg
'Horrivel!\tPessoal não baixem é horrivel mesmo!.',neg
'Péssimo\tRidículo.',neg
'Uma bosta\taparece uma frase falando como vc vai morrer e a foto de uns velho mó nada haver.',neg
'Muito ruim\tNao e de vdd e uma porcaria devia ser proibido uma coisa toa ruim',neg
'Horrível\tNão iinstalem essa bosta',neg
'Puro Lixo\tDeviam proibir lixos como esse... E criar uma nota 0 para avaliação...',neg
':\tMuito bom',neu
'Lixooo!\tNem percam seu tempo baixando isso',neg
'+-\tMeia boca',neu
'A pior porcaria que usei até hoje.\tSe a google tivesse vergonha nem deixava esta poracaria na google play.',neg
'Duvida\tParece ser ruin ainda n baixei mas pelos comentarios e demostracoes e ruim pediram para mostrar um jogo melhor tenho certeza q pou e bem melhor n vou baixar esse jg parece mt ruim',neg
'Galaxy s IV\tMuito ruim, pra caraba muito ruim vei so mentira',neg
'Isso e uma grande merda\tIsso nao presta e uma bosta total',neg
'Lixo\tNao baixem muito ruim,  tem pessoas sem criatividade aqui mesmo,  nao sabem programar e se intrometem.',neg
'adorei muito divertido',pos
'Excelente\tMuito engraçado',pos
'PÉSSIMO\tMuito ruim horrível',neg
'Emily\tPela mor de Deus isso é horrivel de mais',pos
'Kkkkk\tNao tem sentido !! Ri milhas',neg
'Horrivel\tDetestei trava e a foto velha nao se parece nada com a pessoa.',neg
'Horrivel\tNaum baixem essa porra de jogo pq depois qnd for sair dele naum vai e alem disso eh racista pq soh aparece negro velho',neg
'Uma merda\tNão baixem!!!',neg
'Horrivel\tNao baixem \'-\'',neg
'Bem legal pra zuar com os amigos',pos
'Galaxy Pocket\tBom muitas cara estranhas',pos
'Horrivel !!\tHorrivel.. Disse q eu iria morrer de insigestao com 110 anos .. E o cara q apareceu n se parece cmg... Serio se fuder vadia.',neg
'se esisti un jogo melho mi mostre',pos
'Lixo\tNão funciona. Sony Xperia X10.',neg
'Lixo\tNao baixa e uma bosta , dou 1  pq nao da pra por 0',neg
'Spam\tNão usar. Aplicação inútil.  Estou quase certo que apanhei vírus.\'',neg
'Péssimo\tAplicativo de utiliza de rostos aleatórios',neg
'.\tUma merda , nada ver .',neg
'Ruim\tAs fotos ja estão todas salvas',neg
'Merda\tE muito ruim',neg
'Lixo\tNada a ver o programa',neg
'Ridículo\tEsse app é péssimo primeiro agente tira a foto e depois mostra como eu vou ficar quando velho e não tem nada a ver mostra qualquer foto de um vei ai.',neg
'Um lixo\tQ lixo',neg
'Pessimo\tNao percam seu tempo',neg
'Qe mierdaa\tQe nada avet eu aparecii branca disse q eu ia morrer xm 118 anos em um incendio ma floresta ,depois disse q eu ia morrer m 90 afogada ,vou tet duad mortes eh',neg
'Lixoooo\tN perquan o seu tempo nossa muito zuadoooo',neg
'noss cara muito ruimm!1\tvey perdi meu tempo com esta bosta',neg
'Uma merda\tBaixei pra ver como era. É uma merda.',neg
'Pessimo\tOdiei me deixou com ar de tristesa',neu
'lixo\tnada a declarar, um lixo',neg
'muito bom muito bom\té muito lenta é muito legau',pos
'Nada ver\tTirei uma foto do chão e apareceu uma velha mto feia. Nada ver com a pessoa',neg
'Merda\tMuinto besta perde seu tenpo vc podia baixar e si jogo muito merda',neg
'Lixo\tNão serve para nada',neg
'Bom\tBom',pos
'Lixo\tLixo da melhor forma de lixo',neg
'E u,a merda\tE uma vdd bosta nao istalem e uma porcaria gastei meu tempo atoa',neg
'Perde meu tempo\tNao recomendi.',neg
'Horrivel\tApp idiota, nao recomendo ninguem baixar',neg
Engraçado,pos
'Nada ve mto merda\tVei eu tirei 2 fotos. Uma eu era uma veia de  cabelo arrepiado e na outra eu era uma veia chifruda meu n sabia q eu podia mudar de aparencias tão rapido n baxa essa merda cara tu Só vai perde tempo',neg
'E orrivel esse jogo...\tPorcaria orrivel nao recomendo..acreditem...',neg
'Uma merda\tIsso nao prestaa,  . Lixo',neg
'Lixo\tEsse trosso e um lixo.',neg
'Que vergonha...\tGente vamos colocar aqui aplicativos de interece que funciona, a proposta foi boa mais o resultado e muito ruim mesmo.',neg
'lixo.n baixe\tolha vc tira foto da parede e vai uma mentira a dina disso e burra   n baixe',neg
'Ruin\tFjba furia jovem baraunas  Tomen todos na bunda',neu
'Pesimo\tUma bosta não recomendo !!!',neg
'Besta\tAff que app idiota disse que eu ia morrer com 102 anos num acidente de carro :$',neg
'Paciência de jo!\tDemora mt pra baixar,e e um saco pra esperar!!!!!',neg
'Lixo\tLixo',neg
'Porcaria\tNao presta... só conversa',neg
'Péssimo\tTirei 1 foto minha e falou que eu ia morrer c/ 115 anos ao atravessar a faixa de pedestre',neg
'Isso e ruim\tIsso nao presta maior enganação.',neg
'Nao conpren',neg
'Mais o menos',neu
'É uma bosta',pos
'Lixo\tNada realista!!!!_',neg
'nao funciono\tnao funciona quendo voce tira a foto o aplicativo sai automaticamente',neg
'Atencao\tOlha antes de voces criticarem isso e uma pegadinha para amigos entendeu bobos?',pos
'Lixo\tNada haver num sei como oerdem tempo de fazer uma merda de app desse...',neg
'Ruim\tMò mentira disse que eu ia morrer com 124 e envenenada por um estranho',neg
'Péssimo\tRuim',neg
'Que lixo\tNao recomendo issu é um lixao',neg
'Uma bosta\tNao baixem esse aplicativo, nao acontece nada, so fica na primeira tela !',neg
'+ou-\tAchei legal mas achei repetitivo,e depois de um tempo fica ben chato!!',neu
'Muito ruim\tPéssimo. Só.',neg
'Trava o celular\tAlém de travar o celular, eu nem tirei foto do meu rosto, e aparece umas fotos de velha nada a ver. E depois, não consegue sair do aplicativo',neg
'Horrível\tUm lixo Nem analisa como vc vai fikar eles so pegam umas fotos e colokam falando q er vc',neg
'Uma Merd@\tSem noção nada a ver cim a foto que tu tira aff nao baixem pq é mt ruim',neg
'Uma merda\tUma bosta nem baixem',neg
'Horrível\tNão add esse jogo. Dá erro, mostram fotos que não tem na da ver...',neg
'Ruim\tNão aparece bc velho',neg
'Gente nao baixem ė uma merda\tEu tirei uma foto da parede para ver se era verdade é tudo uma mentira falou que a parede ia morrer com 140anos. Nao baixem...',neg
'Nada real\tÉ horrivel, rostos aleatórios, sem falar q é mt chato. N aconselho',neg
'Orrivel\tBaixei e é orrivel falou eu ia morrer com 102 anos  e eu morreria numa briga de bar',neg
'Chato.\tChato , nao tem nada a ver cm vc. Bota a foto de uma velghinha ao inves de modificar cc .',neg
'Péssimo\tO app pega foto de uma mulher velha e coloca como se fosse vc',neg
'Lixooooo\tMuito ruim, não recomendo!',neg
'D+\tRecomendo. Muito bom!!!',pos
'orivel\te muito ruim para ter nocao eu tirei uma foto da escada e apreceu q a escada ia morrer com104 anos e ia morrer afogada e apareceu uma foto de uma mulher:-( :-[  :-C',neg
'lixo\teu sou homem e colocaram uma foto de uma vovo .',neg
'Uma bosta\tUma bosta ñ e nada legal',neg
'Uma merda\tPerca de tempo.',neg
'Que porra\tQue porra e essa uma merda eu tirei minha foto e aparesceu uma mulher velha eu sou homem va toma no cu',neg
'Merda\tAchei esse aplicativo uma perda de tempo.  Testei varias vezes com varias pessoas e apareceu a mesma véia q iriam morrer numa banheira de chocolate',neg
'Mentira\tEsse aplicativo somente poe uma imagen de velho depois que vc tira a sua foto, e a imagem não tem nada a ver com a que vc tira.',neg
'comecei agora..\tmas parece ser um app legal..',neu
'Lixo\tO bagulho disse q vou morrer cm 95 anos e por causa de fogos de artificio.... Muito ruin lixo demais',neg
'Lixoooooo\tNao recomendo para ninguem OBS:perda de tempo',neg
'Este app\tEste app é mentirosp eu mostrei minha cara (menina) e saiu um capeta velho',neg
'Tem virus\tNão baixem. Trm virus',neg
'Não presta',neg
'Lixo\t...',neg
'É uma porra esse aplicativo\tEu tirei uma foto e saía sempre diferente',neg
'sem  graça\tNaum gostei do  jogo é Mour nada ver ....',neg
'Bom\tParabens continue sempre asim',pos
'horrivel\tnossa vc tira a foto aparece outra foto que eles escolheu afffs melhor nem baixar vai se arrempende',neg
'Lixooooooo\tPura perda de tempo!! Pura mentira!!',neg
Porcaria,neg
'uma bosta\tAparese uma cara velha e disse que eu ia morre emgolindo uma causinha',neg
'Lixo\tNão recomendo!',neg
'Gostei mais n gostei\tAchei engraçado mais sem nenhuma cara diferente',neg
'Não presta\tMuito Rui bosta',neg
'Lixo\tMuito ruim essa merda...',neg
'q merda\tesse lixo falou sue eu vou morrer em uma guerra mundial',neg
'Lixo\tNão recomendo esse app alem de amostrar uma goto que nada tem a ver comogo,ainda falou que eu ia morrer com 114 anos numa banheira cheia de chocolate',neg
'Pior jogo\tPior jogo que eu joguei',neg
'LIXO !!\tEssa app e uma bosta um lixo , e mentiroso. Perda de tempo abaixa esse lixo !',neg
'Uma merda\tO aplicativo hee uma bosta NAO BAIXEM',neg
'bom\ttem gente que ficou parecida mesmo...kkk',neg
'K\tNao gostei horrivel',neg
'Lixo\tNao baixem...',neg
'legal\tachei legal porque aparece foto de velhos e fala da idade e da morte falsa nao e tao ruim',pos
'Ta de sacanagem\tEsse aplicativo e horrivel mostra cada coisa perda de tempo nao baixeeeeem',neg
'Não baixem\tEsse aplicativo e um lixo, nem transforma as fotos, só trás as fotos já envelhecido quem vem no aplicativo',neg
'Perda de tempo esse aplicativo...\tAbre uma foto e fala que vou morrer com 44 anos...',neg
'Ridículo\t, isso é um lixo não baixem pq e perda de tempo !!',neg
'Imprestável\tNão fuciona',neg
'Gostei\tAinda to instalando mais acho que e legal',pos
Demorando,neg
'Orrivel\tEsta porcaria falar que eu vo morrer com 40anos e so aparece cara de mulher.',neg
'BostA\tLixo ... deve fazer coisas úteis',neg
'nao gostei\tn aparece minha cara qe raivaa',neg
'Mt ruim uma prq\tÉ aparece a ft do jg n recomendo',neg
'Porcaria\tUma perca de tempo n baixem n recomendo......',neg
'Cihhh\tA foto nem aparece q sou eu! Não recomendo!!! :\'(',neg
'vai se fude\tviadinho',neg
'Mais ou menos\tAchei mais ou menos',neu
'Mentira\tAbachei o aplicativo tire foto mas so apareceu fotos que ja vem no aplicativo por isso nao gostei perdi meu tempo coloque alguma coisa que foncione',neg
'Bom\tFalta corrigir alguns bugs, mas é completamente funcional.',pos
'Muito bom!\tOs cara que fala q o app eh ruim, tem um celular lixo e q q roda emulador.... ate parece.... de vez em quando da um luguesinho, normal isso... dou 4 estrelas pq da pra melhorar, mas ja esta otimo',pos
'Galaxy Note 10.1\tO melhor ... pq sei onde salva kk Muito bom ...',pos
'Saudade\tMto bom os jogos do master neh bateu uma saudade de jogar sonic, porem acredito que tenham *esquecido* alguns ajustes fica ttravando constantemente nao consegui passarr da segunda fase.',neg
'Mais ou menos...\tHá problemas nos botões alem da configuração dos mesmos ser ruim',neu
'Perfeito no Xperia Play.\tNossa, esse emulador é simplesmente incrível. Eu tô jogando Alex Kidd aqui numa boa. Eu recomendo vocês baixarem.',pos
'trava muito .\tCara trava muito não da nem pra jogar , espero que arrumem este erro grave, vou da 2 votos porque sei que não e facil lidar com isto boa sorte aew e bom trabalho.',neg
'Lixo nao recomendo\tEsse projeto de emulador fica travando toda hora o botao de movimento e para uma criança de 2 anos n recomendo pra quem tem galaxy pocket',neg
'Excelente e gratuito\tÓtimo emulador e totalmente gratuito.  Recomendo a todos para matar a saudade do grande e saudoso Mega Drive.',pos
'E aí\tComo baixar os jogos, não tem opção',neg
'To baixando\tNoa sei de nada',neu
'Ehhhhhhhh. Mais ou Menos..\t^^',pos
'Muito bom\tOtimo app melhor que ja vi confiavel',pos
'XD!\tRelembrando os velhos tempos.',pos
'Galaxy y tv\tGente é só saber configurar .... fframeskip coloquei no 2 ... E do audio no 1 .... Tem que ter certeza que nada esta consumimdo a memoria',pos
'Orrivel\tNao consigo jogar q saco',neg
'Nao funcionou no mb525',neg
'Ruim demais\tO som é péssimo, não se escuta a música do jogo, só um chiado irritante',neg
'É ruim\tNão tem game genie. É lento. Trava toda hora.',neg
'EXELENTE\tLg Optmus L3 e435. O app é otimo e todos os jogos de mega drive pegam. Mas só tem um problema o sons dos jogos ficam travando.',pos
'Samsung Galaxy Pocket\tEstou jogando na boa. Devolta aos clássicos do Meguinha.. Rsrsrsrs',pos
'Otimo\tPro meu gx note ficou 100\%',pos
'Bom app\tMe lembro de quando tive meu primeiro mega drive saudaded',pos
'Perfeito\tNostalgia pura graças a esse APP...:)',pos
'Melhorem por favor!!\tO app tem tudo pra ser bom so tirem o frequente lag... Mas mesmo assim voces estao de parabens pelo esforço... Pessoas criticam dizendo que e um lixo mas eles nao pensam no trabalho de voces',neu
'Lento e pesado.\tMeu celular p698f processador 800MHz fica dando Lag o tempo todo. ::: Eu sugiro que você instale o ★ Gensoid ★, Roda tranquilamente!___Não tem no Market, mas pesquisa no Google que você acha. ★ Fica a dica...',neg
'Problemas com celular\tNo Meu galaxy y young só podia jogar este emulador e foi uma verdadeira mIerda , tive q baixar GensOid (recomendado) pelo 4shared fica para PFS fãs de sonic, Comix zone, entre outros, baixem emuladores que terminam com Oid',neg
'Lento...\tDa primeira vez q instalei funcionou perfeitamente no meu Galaxy Pocket Duos, mas depois de algumas atualizações ficou lento e as músicas ficam mais lentas q o normal. E não venham me falar q é meu aparelho q é ruim, pois o SuperGenPlus funciona perfeitamente, sem nenhum problema.',neu
'Ele para na hora de fazer de instalar',neg
'Naum roda no sony ericsson xperia!!!!fuuuuuh queria joga Sonic!!!!!! :-@',neg
'Onde fica os roms.\tEu procurei em todo lugar e nao achei, coloquem uma URL ou alguma coisa assim para achar os jogos Vlw.',neg
'Essa disgraca nao pega\tComo faco download do jogo',neg
'Problema\tNo galaxy gran duos não foi bem. Tem esse efeito que falaram, que ele fica engasgando, tipo um pequeno e frequente lag. Ainda não encontrei um que funcione.',neg
'Não abre',neg
'E os jogos ?\tComo faço para adquirir os jogos?',neg
'Hm\tNao kosigo mecher nao sei auguem me ajuta pr fv',neg
'Estava indo bem, mas precisa atualizar\tO emulador é bom, mas precisa de atualização para otimizar para os sistemas operacionais mais recentes e para os aparelhos que usam mais de um núcleo no processador. Tirando isso, ainda falta incluir o suporte para gamegenie. Se fizer isso, o emulador vai ficar 100\%.',neg
'RODA PERFEITO !\tSem problemas no meu Galaxy 5...o celular é fraquinho mas roda de boa...',pos
'Muito bom\tGostei, quando vate aquela saudade dos jogos antigos ele me relembra destes belos jogos do passadi',neu
'Lento no s3\tNao sei pq, mas no meu s3 esse emulador roda os jogos lento....',neg
'Ruim\tEsse app e bom d+ pra celular comum neh porra o meu e android caralho sera q vocês ñ tem app melhor ñ?',neg
'Esse é BOM!!!\tSão Paulo - SP, 21/03/2013  Esse Aplicativo é muito BOM! Recomendo a todos!!! É bom a gente matar a Saudades jogando o vélho Mega Drive novamente agora na palma da mão, o que facilita muito!!! Depois que você baxar o Aplicativo aí é só copiar os jogos para uma pasta dentro dele. SIMPLES ASSIM!!! E eu conheço muitos sites que têm muitas ROMS de Mega Drive TUDO GRATUITOS!!!  Abraços Fortes por Trás a todos!!! Ass: Daniel N. S. danielnavega@terra.com.br  Valeu!!!',pos
'Muito obrigado...\t...por me fazer lembrar de alguns grandes momentos da minha infância   8D',pos
'Galaxy tab 2 7.0 p3110\tO app so le o jogo uma vez e depois para de pegar se eu tento colocar qualquer outro jogo ele n le tb nem colocando em vez de um arquivo .srm colocar um .bin eu ja reinstalei 4 vezes e aconteceu a mesma coisa',neg
'Emulador ótimo\tUsei no LG L7 rodou tranquilo!!! Já num Samsung S Duos não tive a mesma performance. Emulador de consoles Sega Top. Merece 5*',pos
'O melhor\tSem sombra de duvida esse emulador de mega drive é o melhor, alem de ter o grafico muito bom,da pra salvar o jogo na parte q quiser e sem ter q pagar por isso.',pos
'Otimo\tAlguém sabe qual o problema com as roms do master system.tenho o motorola atrix tv e quando rodo qualquer jogo do master . So fica c um botao.tipo o botao A e o botao B FOCAM COM A MESMA FUNÇÃO. Por exemplo no alex kidd in miracle world so da soco.nao tem o botao d pulo.',pos
'Ótimo emulador.\tApp espetacular. Rodou sem problema as roms que tenho e é muito fácil achar jogos na net. Uso um Razr I  e recomendo.',pos
'Péssimo\tNão gostei não',neg
'Pessimo\tNao funcionou',neg
'lixo\tcomo faz pra baixar jogos ???',neg
'Demais\tMuito bom',pos
'Lixo nao roda no xperia 8',neg
'emulador\tgostei muito recomendo a todos',pos
'Não funciona!\tSimplesmente não funcionou. Dou loading na Rom e não acontece nada, volta pra tela inicial do emulador! Péssimo.',neg
'Bacaninha!\tMuito bom sim, jogo ate Virtua Racing com esse emulador... Mas o desempenho da emulacao deixa muito a desejar.',pos
'jogos\tqual o formato dos jogos para se baixar e jogar e qual os sites brigado',pos
'Não comssigo baixar\tNão concigo baixar como baixa',pos
'Excelente\tMuito bom apesar de ficar um pouco lento no meu galaxi pocket',pos
'Não percam seu tempo uma bosta o pior jogo do andróid',neg
'Erro\tO meu abre direitinho mas é como se estivesse em camera lenta,meu cel é o galaxy s3 se alguem puder,da um help ai.',pos
'Emulador d merda...instalei no meu cel.e não pegou d jeito nenhum',neg
'Bom Emulador, é Bom Relembrar [Samsung Galaxy W]\tEste emulador é muito bom e ajuda a relembrar meus tempos de Master System, Mega Drive, com ele posso jogar Sonic, Top Gear, Bomberman, entre outros. Já tenho emulador de Nintendo instalado, agora tenho esse de Master System / Mega Drive. O emulador funciona muito bem, dá pra jogar de boa. O único ruim é que eu não me adequo muito bem em jogar tocando na tela, mas dá pra jogar de boa.',pos
'Vai se fude q porra d jogo e esse?  nem entra esse caralho como eles colocam esse jogo no market filho da puta d jogo',neg
'nao consigui\tnao consegui baixar roms alguem pode me ajudar',neu
'Oviveu\tUma merda',neg
'Ajuda pf!!!\tcomo baixo roms para ele',pos
'Não funciona no Xperia X10 Mini Pro\tQuem tem Xperia X10 Mini Pro não baixem o mesmo da um erro e não funciona.',neg
'< ( ( ( MUITO SHOOWWW ) ) ) >\tSimplesmente o melhor emulador que eu ja testei até hoje .... Só uso ele agora vlw msm . . .',pos
'Galaxy Y\t-  tô doido pra testar no Castlevania SON !',pos
'SGS II\tBoa tentativa mas a paginação dos botões é MUITO RUIM.  Toda hora aperto o botão \"B\"  e ele entende como \"A\"  e vice- versa.',neg
'Socorro!!!\tComo coloca jogos???????',pos
'rooms\tComo faço para baixar roms ?',neg
'Problema\tSempre joguei normalmente aqui no meu S3. Mas de uma hora para outra, assim de repente, do nada, quando carrego (qualquer jogo), ele fica lento. Como se estivesse em câmera lenta. Travando. Alguém teve isso? Gostaria de uma dica para resolver isso. Tentei desinstalar e instalar novamente, mas não deu. Continuou na mesma...',pos
'Paraense\tHELP ME.!!!!  Como eh q baixa jogo p essa \"budega\"...??? + Que M#*&\%@',pos
'Nao sei entrar alguem ajuda',neg
'Demora mto pra baixar....aafff',neg
'Muito Bom!\tÉ o melhor emulador para Mega Drive.',pos
'MUITO TOP\tÉ muito TOP esse emulador! Eu tenho e tenho o do SNES tbm que é muito TOP... Roda lisinho, sem ficar travando imagem e som, nada! Perfeito pra relembrar minha infância! Pode baixar sem medo!',pos
'Não pega! Liixo!  X8',neg
'Excelente!\tO aplicativo é ótimo, roda sem lag no Galaxy Y. O único problema é que ele trava se você desabilitar o som, mas é só deixar ele habilitado e abaixar o volume.',pos
'Socorro\tComo e que eu faço pra jogar.',neg
'Meu nome é yuri\tNao sei onde baixar os roms',pos
'Porcaria\tComo baixa os roms???? De outro app?????',neg
'Pode melhorar\tEle tem potencial, mas  o som nao sincronizada e da bug em varios jogos o gen.emu esta vem melhor',neu
'Desestalando não funciona esta josa',neg
'Poxa esse app é irado,faz voltar nos tempos de criança show de bola.',pos
'Galaxy Y\tÓtimo emulador. A maioria das roms que testei rodaram bem. O som é que não é dos melhores mas tudo bem.',pos
'Bom mas...\tO emulador é  muito bom... Bem organizado e não ocupa muito espaço. Não tive qualquer problema com ele relacionado a gráficos, músicas, lags. Valea pena Total! A única coisa que me deixa frustrada, São os controles que São muito pequenos... Pelo menos pramim que jogo em um tablet consideravelmente grande, achei eles muito pequenos e atrapalham várias vezes. Fora isso, tudo tranquilo. Samsung Galaxy Tab 10.1',pos
'jogoo\tpooow eu nao estou conseguindo por o jogo nele alguem pode me enviar um site para q eu possa baixar o jogo compativel valeuu',pos
'Ruim\tTodos os jogos que baixei pega mais é lento tentei mudar as configuraçoes mais não adianto nada.... Que bosta....',neg
'Galaxy mini\tComo colocar baixar os jogos em...por isso dou três',neu
'PERFEITOOOO!!!!\tGeralmente os melhores jogos do Android são pagos e ocupam mt memoria no celular, c/ esse aplicativo vc baixa várias roms, pelo pc e pelo próprio celular, e o melhor nem precisa estalar, ocupando quase nada no cartão de memoria, e tendo os jogos bem famosos c/ o Sonic...',pos
'Show\tFunciona muito bem, faz oque promete. No meu galaxy ACE sem bugs ou gaps.',pos
'?\tN ta achando nenhuma rom',neu
'Melhor impossivel.\tLeve e facil de usar. Ja testei mais de 100 roms e ate agora nao vi nenhum bug.',pos
